,Area,Item,Year,hg/ha_yield
0,Albania,Maize,1990,36613
1,Albania,Potatoes,1990,66667
2,Albania,"Rice, paddy",1990,23333
3,Albania,Sorghum,1990,12500
4,Albania,Soybeans,1990,7000
5,Albania,Wheat,1990,30197
6,Albania,Maize,1991,29068
7,Albania,Potatoes,1991,77818
8,Albania,"Rice, paddy",1991,28538
9,Albania,Sorghum,1991,6667
10,Albania,Soybeans,1991,6066
11,Albania,Wheat,1991,20698
12,Albania,Maize,1992,24876
13,Albania,Potatoes,1992,82920
14,Albania,"Rice, paddy",1992,40000
15,Albania,Sorghum,1992,3747
16,Albania,Soybeans,1992,4507
17,Albania,Wheat,1992,24388
18,Albania,Maize,1993,24185
19,Albania,Potatoes,1993,98446
20,Albania,"Rice, paddy",1993,41786
21,Albania,Soybeans,1993,7998
22,Albania,Wheat,1993,29976
23,Albania,Maize,1994,25848
24,Albania,Potatoes,1994,81404
25,Albania,Soybeans,1994,7927
26,Albania,Wheat,1994,24745
27,Albania,Maize,1995,31300
28,Albania,Potatoes,1995,111323
29,Albania,Soybeans,1995,11791
30,Albania,Wheat,1995,28703
31,Albania,Maize,1996,32604
32,Albania,Potatoes,1996,106138
33,Albania,Soybeans,1996,15480
34,Albania,Wheat,1996,21741
35,Albania,Maize,1997,31862
36,Albania,Potatoes,1997,109874
37,Albania,Soybeans,1997,12768
38,Albania,Wheat,1997,28516
39,Albania,Maize,1998,33416
40,Albania,Potatoes,1998,127212
41,Albania,Soybeans,1998,14327
42,Albania,Wheat,1998,28037
43,Albania,Maize,1999,37455
44,Albania,Potatoes,1999,142018
45,Albania,Soybeans,1999,17143
46,Albania,Wheat,1999,24954
47,Albania,Maize,2000,38811
48,Albania,Potatoes,2000,141228
49,Albania,Soybeans,2000,15000
50,Albania,Wheat,2000,30455
51,Albania,Maize,2001,38135
52,Albania,Potatoes,2001,148818
53,Albania,Soybeans,2001,20000
54,Albania,Wheat,2001,28220
55,Albania,Maize,2002,39460
56,Albania,Potatoes,2002,153868
57,Albania,Soybeans,2002,20000
58,Albania,Wheat,2002,31617
59,Albania,Maize,2004,46197
60,Albania,Potatoes,2004,149346
61,Albania,Soybeans,2004,13333
62,Albania,Wheat,2004,31130
63,Albania,Maize,2005,45442
64,Albania,Potatoes,2005,167061
65,Albania,Soybeans,2005,17500
66,Albania,Wheat,2005,31582
67,Albania,Maize,2006,50111
68,Albania,Potatoes,2006,170745
69,Albania,Soybeans,2006,20000
70,Albania,Wheat,2006,30787
71,Albania,Maize,2007,46732
72,Albania,Potatoes,2007,188902
73,Albania,Soybeans,2007,20000
74,Albania,Wheat,2007,35496
75,Albania,Maize,2008,50000
76,Albania,Potatoes,2008,193878
78,Albania,Wheat,2008,40168
79,Albania,Maize,2009,55693
80,Albania,Potatoes,2009,219780
81,Albania,Soybeans,2009,16667
82,Albania,Wheat,2009,40229
83,Albania,Maize,2010,66790
84,Albania,Potatoes,2010,231111
85,Albania,Soybeans,2010,16667
86,Albania,Wheat,2010,39905
87,Albania,Maize,2011,59869
88,Albania,Potatoes,2011,242211
89,Albania,Soybeans,2011,18519
90,Albania,Wheat,2011,42301
91,Albania,Maize,2012,67290
92,Albania,Potatoes,2012,250538
93,Albania,Soybeans,2012,13333
94,Albania,Wheat,2012,41096
95,Albania,Maize,2013,69533
96,Albania,Potatoes,2013,260110
97,Albania,Soybeans,2013,10000
98,Albania,Wheat,2013,41292
